query,hierarchy_data
Corporate Bonds - HTM (Disc),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Corporate Bonds""],""level_4"":[""Corporate Bonds""],""level_5"":[""Corporate Bonds""],""level_6"":[""Corporate Bonds - HTM (Disc)""]}}"
Corporate Bonds - HTM (Prem),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Corporate Bonds""],""level_4"":[""Corporate Bonds""],""level_5"":[""Corporate Bonds""],""level_6"":[""Corporate Bonds - HTM (Prem)""]}}"
Corporation Tax,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Expenses""],""level_3"":[""Tax""],""level_4"":[""Other Expense""],""level_5"":[""Corporation Tax""],""level_6"":[""Corporation Tax""]}}"
Cost,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""]}}"
Cost - Computer Hardware,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Computer Hardware""],""level_6"":[""Cost - Computer Hardware""]}}"
Cost - Freehold Building,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":["" Freehold Building""],""level_6"":[""Cost - Freehold Building""]}}"
Cost - Freehold Land,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Freehold Land""],""level_6"":[""Cost - Freehold Land""]}}"
Cost - Furniture; Fittings & Fixtures,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Furniture; Fittings & Fixtures""],""level_6"":[""Cost - Furniture; Fittings & Fixtures""]}}"
Cost - Leasehold Building,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Leasehold Building""],""level_6"":[""Cost - Leasehold Building""]}}"
Cost - Leasehold lmprovement,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Leasehold lmprovement""],""level_6"":[""Cost - Leasehold lmprovement""]}}"
Cost - Motor Vehicles,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Motor Vehicles""],""level_6"":[""Cost - Motor Vehicles""]}}"
Cost - Prepaid Operating Lease,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Prepaid Operating Lease""],""level_6"":[""Cost - Prepaid Operating Lease""]}}"
Cost - Software,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Cost""],""level_5"":[""Software""],""level_6"":[""Cost - Software""]}}"
Courier Charges recovered,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Commission""],""level_4"":[""Courier Charges""],""level_5"":[""Courier Charges""],""level_6"":[""Courier Charges recovered""]}}"
Courier Expenses,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Courier Expenses""],""level_6"":[""Courier Expenses""]}}"
Courier/Postage Charges Recovered,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Courier/Postage Charges Recovered""],""level_6"":[""Courier/Postage Charges Recovered""]}}"
Credit Card,"{""advance"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Advances""],""level_5"":[""Credit Card""],""level_6"":[""Credit Card""]}}"
Credit Card Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Other Income""],""level_5"":[""Credit Card""],""level_6"":[""Credit Card Income""]}}"
Credit Cards,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Credit Cards""]}}"
Creditors Payables,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Creditors""],""level_5"":[""Creditors Payables""],""level_6"":[""Creditors Payables""]}}"
Cross Currency Swap - Assets,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Derivatives""],""level_5"":[""Cross Currency Swap Assets""],""level_6"":[""Cross Currency Swap - Assets""]}}"
Cross Currency Swap Assets,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Derivatives""],""level_5"":[""Cross Currency Swap Assets""]}}"
Cross Currency Swap Paid (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Cross Currency Swaps (Paid)""],""level_5"":[""Cross Currency Swaps (Paid)""],""level_6"":[""Cross Currency Swap Paid (FCY)""]}}"
Cross Currency Swap Paid (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Cross Currency Swaps (Paid)""],""level_5"":[""Cross Currency Swaps (Paid)""],""level_6"":[""Cross Currency Swap Paid (FCY)""]}}"
Cross Currency Swap Paid (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Cross Currency Swaps (Paid)""],""level_5"":[""Cross Currency Swaps (Paid)""],""level_6"":[""Cross Currency Swap Paid (LCY)""]}}"
Cross Currency Swap Received,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Cross Currency Swap Received""]}}"
Cross Currency Swap Received (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Cross Currency Swap Received ""],""level_6"":[""Cross Currency Swap Received (FCY)""]}}"
Cross Currency Swap Received (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Cross Currency Swap Received""],""level_6"":[""Cross Currency Swap Received (LCY)""]}}"
Cross Currency Swaps,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contra Assets""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Cross Currency Swaps (Paid)""],""level_5"":[""Cross Currency Swaps""],""level_6"":[""Cross Currency Swaps (LCY)""]}}"
Cross Currency Swaps (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Non-Funded Assets""],""level_5"":[""Cross Currency Swaps""],""level_6"":[""Cross Currency Swaps (FCY)""]}}"
Cross Currency Swaps (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Cross Currency Swaps""],""level_6"":[""Cross Currency Swaps (LCY)""]}}"
CTS - Cheque Collections costs,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""CTS - Cheque Collections costs""],""level_6"":[""CTS - Cheque Collections costs""]}}"
Currency Swap Gain,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Derivatives""],""level_5"":[""Currency Swap Gain""]}}"
Currency Swap Gain/Loss,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Derivatives""],""level_5"":[""Currency Swap Gain""],""level_6"":[""Currency Swap Gain/Loss""]}}"
Current - Banks FCY,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Deposits from Banks""],""level_4"":[""Bank Deposit""],""level_5"":[""Foreign Banks""],""level_6"":[""Current - Banks FCY""]}}"
Current Account,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Current Account""],""level_5"":[""Current Account""]}}"
Current Account with Banks Abroad,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""],""level_4"":[""Placement Abroad""],""level_5"":[""Banks Abroad""],""level_6"":[""Current Account with Banks Abroad""]}}"
Current Account with Central Bank ,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Cash and Cash Equivalents""],""level_3"":[""Cash Equivalents""],""level_4"":[""Cash Equivalents""],""level_5"":[""Account with Central Bank""],""level_6"":[""Current Account with Central Bank""]}}"
Current Account with local banks,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Account with Local Banks""],""level_6"":[""Current Account with local banks""]}}"
Current Accounts (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Current Account""],""level_5"":[""Current Account""],""level_6"":[""Current Accounts (FCY)""]}}"
Current Accounts (LCY),"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Current Account""],""level_5"":[""Current Account""],""level_6"":[""Current Accounts (LCY)""]}}"
Current Deposit of Pvt Bank (IR),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Deposits from Banks""],""level_4"":[""Bank Deposit""],""level_5"":[""Private Bank ""],""level_6"":[""Current Deposit of Pvt Bank (IR)""]}}"
Current Deposits of Foreign Banks,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Deposits from Banks""],""level_4"":[""Bank Deposit""],""level_5"":[""Foreign Banks""],""level_6"":[""Current Deposits of Foreign Banks""]}}"
Custodial Service Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Custodial Service""],""level_5"":[""Custodial Service""],""level_6"":[""Custodial Service Income""]}}"
Customer Deposits,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""]}}"
Daily Suspense Account (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Suspense Account""],""level_5"":[""Daily Suspense Account""],""level_6"":[""Daily Suspense Account (FCY)""]}}"
Daily Suspense Account (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Suspense Account""],""level_5"":[""Daily Suspense Account""],""level_6"":[""Daily Suspense Account (LCY)""]}}"
Data Processing Expense,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Data Processing Expense""],""level_6"":[""Data Processing Expense""]}}"
DCD,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""DCD""]}}"
DCD Borrowings,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""DCD""],""level_5"":[""DCD Borrowings""]}}"
DCD Borrowings (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""DCD Borrowings""],""level_6"":[""DCD Borrowings (FCY)""]}}"
DCD Borrowings (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""DCD""],""level_5"":[""DCD Borrowings""],""level_6"":[""DCD Borrowings (LCY)""]}}"
DCD Placement,"{""placement"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Interbank Placements""],""level_4"":[""Placement Abroad""],""level_5"":[""Fixed Placements""],""level_6"":[""DCD Placement""]}}"
DCD Placement (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Cash Equivalents""],""level_4"":[""Placements""],""level_5"":[""Placement with Local Banks""],""level_6"":[""DCD Placement""]}}"
DCD Placements with local banks,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Dual Currency Deposit - DCD Placements""],""level_6"":[""DCD Placements with local banks""]}}"
Deals,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Loan Loss Provision""],""level_3"":[""Provision""],""level_4"":[""Specific""],""level_5"":[""Deals""]}}"
Debit Card Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Other Income""],""level_5"":[""Debit Card""],""level_6"":[""Debit Card Income""]}}"
Debt Capital,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Debt Capital""],""level_6"":[""Debt Capital""]}}"
Deferred Expenses,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Sundry""],""level_3"":[""Sundry""],""level_4"":[""Sundry""],""level_5"":[""Deferred Expenses""],""level_6"":[""Deferred Expenses""]}}"
Deferred Expenses Account,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Other Asset""],""level_4"":[""Other Asset""],""level_5"":[""Deferred Expenses""],""level_6"":[""Deferred Expenses Account""]}}"
Deferred Tax,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Other Asset""],""level_4"":[""Other Asset""],""level_5"":[""Deferred Tax""]}}"
Deferred Tax Account,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Other Asset""],""level_4"":[""Other Asset""],""level_5"":[""Deferred Tax""],""level_6"":[""Deferred Tax Account""]}}"
Deferred Tax Asset,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Other Asset""],""level_4"":[""Other Asset""],""level_5"":[""Deferred Tax ""],""level_6"":[""Deferred Tax Asset""]}}"
Demand Loans,"{""loan"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Demand Loans""],""level_6"":[""Demand Loans""]}}"
Deposit Protection Fund,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Deposit Protection Fund""],""level_6"":[""Deposit Protection Fund""]}}"
Deposits - Electricity,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Prepayment""],""level_3"":[""Prepayment""],""level_4"":[""Prepayment""],""level_5"":[""Prepayment""],""level_6"":[""Deposits - Electricity""]}}"
Deposits - Rent,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Prepayment""],""level_3"":[""Prepayment""],""level_4"":[""Prepayment""],""level_5"":[""Prepayment""],""level_6"":[""Deposits - Rent""]}}"
Deposits - Telephone,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Prepayment""],""level_3"":[""Prepayment""],""level_4"":[""Prepayment""],""level_5"":[""Prepayment""],""level_6"":[""Deposits - Telephone""]}}"
Deposits - Water,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Prepayment""],""level_3"":[""Prepayment""],""level_4"":[""Prepayment""],""level_5"":[""Prepayment""],""level_6"":[""Deposits - Water""]}}"
Deposits from Banks,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Deposits from Banks""]}}"
Depreciation - Computer Hardware,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Computer Hardware""],""level_6"":[""Depreciation - Computer Hardware""]}}"
Depreciation - Freehold Land,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Freehold Land""],""level_6"":[""Depreciation - Freehold Land""]}}"
Depreciation - Furniture & Fittings,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Furniture & Fittings""],""level_6"":[""Depreciation - Furniture & Fittings""]}}"
Depreciation - Leasehold Building,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Leasehold Building""],""level_6"":[""Depreciation - Leasehold Building""]}}"
Depreciation - Leasehold Improvement,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Leasehold Improvement""],""level_6"":[""Depreciation - Leasehold Improvement""]}}"
Depreciation - Motor Vehicles,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Motor Vehicles""],""level_6"":[""Depreciation - Motor Vehicles""]}}"
Depreciation - Office Equipment,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Office Equipment""],""level_6"":[""Depreciation - Office Equipment""]}}"
Depreciation - Staff Furniture,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Depreciation & Ammortization""],""level_4"":[""Depreciation""],""level_5"":[""Staff Furniture""],""level_6"":[""Depreciation - Staff Furniture""]}}"
Derivatives,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Derivatives""],""level_5"":[""Derivatives""],""level_6"":[""Derivatives""]}}"
Development Costs,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Other Assets""],""level_4"":[""Other Assets""],""level_5"":[""Development Costs""]}}"
Directors Emoluments,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Staff Expense""],""level_3"":[""Staff Expense""],""level_4"":[""Staff Expense""],""level_5"":[""Staff Expense""],""level_6"":[""Directors Emoluments""]}}"
Directors Emoluments,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Staff Expense""],""level_3"":[""Staff Expense""],""level_4"":[""Staff Expense""],""level_5"":[""Staff Expense""],""level_6"":[""Directors Emoluments""]}}"
Dividend Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Other Income""],""level_5"":[""Dividend""],""level_6"":[""Dividend Income""]}}"
Dividend Payable,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Dividend""],""level_5"":[""Dividend Payable""],""level_6"":[""Dividend Payable""]}}"
Donations,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Donations""],""level_6"":[""Donations""]}}"
Dual Currency Deposit - DCD Placements,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Dual Currency Deposit - DCD Placements""]}}"
Due from Banks,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""]}}"
Due from Subsidiaries,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Sundry""],""level_3"":[""Sundry""],""level_4"":[""Sundry""],""level_5"":[""Due from Subsidiaries""],""level_6"":[""Due from Subsidiaries""]}}"
Due from Subsidiaries Account,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Other Asset""],""level_4"":[""Other Asset""],""level_5"":[""Due from Subsidiaries""],""level_6"":[""Due from Subsidiaries Account""]}}"
E-Commerce Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Other Income""],""level_5"":[""E-Commerce""],""level_6"":[""E-Commerce Income""]}}"
Electricity Premises,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Premises Expense""],""level_3"":[""Premises Expense""],""level_4"":[""Premises Expense""],""level_5"":[""Premises Expense""],""level_6"":[""Electricity Premises""]}}"
Email Statement Conversion Reward,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Email Statement Conversion Reward""],""level_6"":[""Email Statement Conversion Reward""]}}"
Employee Life Insurance,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Staff Expense""],""level_3"":[""Staff Expense""],""level_4"":[""Staff Expense""],""level_5"":[""Staff Expense""],""level_6"":[""Employee Life Insurance""]}}"
Entertainment Allowance,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Staff Expense""],""level_3"":[""Staff Expense""],""level_4"":[""Staff Expense""],""level_5"":[""Staff Expense""],""level_6"":[""Entertainment Allowance""]}}"
Excise Duty,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Expenses""],""level_3"":[""Tax""],""level_4"":[""Excise Duty""],""level_5"":[""Excise Duty""],""level_6"":[""Excise Duty""]}}"
FCY Drafts,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Drafts""],""level_5"":[""Drafts""],""level_6"":[""FCY Drafts""]}}"
Fees - Account Closure Charges,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Account Closure Charges""],""level_6"":[""Fees - Account Closure Charges""]}}"
Fees - Account Maintenance Fees,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Account Maintenance Fees""],""level_6"":[""Fees - Account Maintenance Fees""]}}"
Fees - Additional Statement Charges,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Additional Statement Charges""],""level_6"":[""Fees - Additional Statement Charges""]}}"
Fees - Additional Transaction Fees,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Additional Transaction Fees""],""level_6"":[""Fees - Additional Transaction Fees""]}}"
Fees - Ledger Fees,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Ledger Fees""],""level_6"":[""Fees - Ledger Fees""]}}"
Fees - Minimum balance Charges,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Minimum balance Charges""],""level_6"":[""Fees - Minimum balance Charges""]}}"
Fees - Other,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Other""],""level_6"":[""Fees - Other""]}}"
Fees in Suspense,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Fees Suspended""],""level_5"":[""Fees Suspended""],""level_6"":[""Fees in Suspense""]}}"
Fees Suspended,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Fees Suspended""],""level_5"":[""Fees Suspended""]}}"
Fees Suspended on Cards,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Suspense Accounts""],""level_4"":[""Fees Suspended""],""level_5"":[""Fees Suspended""],""level_6"":[""Fees Suspended on Cards""]}}"
Fees-Non Funded Products,"{""non_funded_income"":{""level_1"":[""Income""],""level_2"":[""Non Funded Income""],""level_3"":[""Fee""],""level_4"":[""Fees""],""level_5"":[""Non Funded Products""],""level_6"":[""Fees-Non Funded Products""]}}"
Fixed Asset,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""]}}"
Fixed Assets Below 10K Written Off,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Fixed Assets Below 10K Written Off""],""level_6"":[""Fixed Assets Below 10K Written Off""]}}"
Fixed Borrowings,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Fixed Borrowings""],""level_5"":[""Fixed Borrowings""]}}"
Fixed Borrowings Abroad,"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Fixed Borrowings""],""level_5"":[""Fixed Borrowings Abroad""]}}"
Fixed Borrowings Abroad (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Fixed Borrowings Abroad""],""level_6"":[""Fixed Borrowings Abroad (FCY)""]}}"
Fixed Borrowings Abroad (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Fixed Borrowings Abroad""],""level_6"":[""Fixed Borrowings Abroad (LCY)""]}}"
Fixed Borrowings Abroad (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowings Abroad""],""level_5"":[""Fixed Borrowings Abroad""],""level_6"":[""Fixed Borrowings Abroad (LCY)""]}}"
Fixed Borrowings Abroad (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Fixed Borrowings""],""level_5"":[""Fixed Borrowings Abroad""],""level_6"":[""Fixed Borrowings Abroad (LCY)""]}}"
Fixed Borrowings in  Kenya (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Borrowings From Banks ""],""level_4"":[""Borrowing Local Bank""],""level_5"":[""Fixed Borrowings ""],""level_6"":[""Fixed Borrowings in  Kenya (FCY)""]}}"
